Year,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1969,29.10,54.45,92.32,141.08,190.69,236.88,269.40,287.13,294.19,292.52,286.47,278.22,271.57,267.05,262.94,258.49,252.61,245.12,236.78,227.29,215.14,198.85,180.52,160.51,138.98,115.19,93.06,72.02,53.92,39.20,28.57,20.29,14.36,10.22,6.39
1970,28.77,53.67,90.56,137.87,185.93,230.68,262.40,280.02,287.31,286.09,280.46,272.48,265.91,261.25,256.95,252.24,246.24,238.74,230.57,221.40,209.66,193.75,175.83,156.25,135.13,111.69,90.08,69.64,52.12,37.94,27.83,19.87,14.14,10.12,6.34
1971,28.33,52.73,88.64,134.47,180.94,224.17,255.01,272.43,279.91,279.12,273.91,266.22,259.75,255.02,250.54,245.61,239.49,232.00,223.99,215.14,203.79,188.28,170.79,151.67,131.01,107.97,86.92,67.10,50.18,36.54,26.94,19.30,13.80,9.91,6.22
1972,27.18,50.55,85.08,129.28,174.31,216.42,246.71,264.15,271.92,271.57,266.75,259.29,252.87,248.00,243.33,238.16,231.89,224.36,216.48,207.90,196.94,181.80,164.74,146.09,125.94,103.36,82.97,63.94,47.79,34.84,25.92,18.70,13.48,9.74,6.15
1973,25.72,47.92,81.09,123.87,167.75,209.07,238.97,256.38,264.29,264.21,259.62,252.33,245.96,241.05,236.29,231.03,224.73,217.21,209.44,201.08,190.42,175.63,158.98,140.82,121.18,99.16,79.42,61.08,45.57,33.20,24.77,17.89,12.93,9.37,5.93
1974,24.59,46.10,78.52,120.55,163.75,204.49,233.96,251.08,258.87,258.81,254.36,247.34,241.28,236.71,232.28,227.30,221.21,213.86,206.20,197.90,187.30,172.63,156.15,138.20,118.82,97.12,77.67,59.61,44.34,32.17,23.84,17.11,12.28,8.85,5.58
1975,23.56,44.52,76.45,118.06,160.89,201.29,230.46,247.35,255.00,254.93,250.59,243.79,238.03,233.79,229.65,224.94,219.03,211.79,204.17,195.86,185.22,170.57,154.16,136.32,117.10,95.62,76.35,58.47,43.37,31.32,23.04,16.41,11.69,8.38,5.26
1976,22.53,42.97,74.48,115.82,158.46,198.73,227.76,244.46,251.97,251.82,247.52,240.89,235.40,231.50,227.72,223.34,217.69,210.63,203.09,194.78,184.11,169.48,153.12,135.38,116.27,94.99,75.79,57.94,42.82,30.72,22.29,15.67,11.00,7.79,4.85
1977,21.81,41.94,73.30,114.67,157.45,197.89,226.99,243.65,251.07,250.82,246.49,239.96,234.69,231.15,227.72,223.71,218.35,211.51,204.08,195.77,185.02,170.35,153.95,136.18,117.02,95.77,76.41,58.34,42.95,30.57,21.76,15.04,10.34,7.20,4.42
1978,20.99,40.65,71.79,113.27,156.45,197.51,227.04,243.89,251.31,250.94,246.52,239.99,234.89,231.65,228.57,224.94,219.86,213.23,205.89,197.56,186.69,171.91,155.40,137.50,118.21,96.89,77.31,58.96,43.28,30.60,21.42,14.58,9.84,6.74,4.08
1979,20.88,40.56,71.55,112.67,155.32,195.79,225.00,241.85,249.47,249.43,245.41,239.32,234.66,231.83,229.08,225.69,220.81,214.31,207.06,198.77,187.89,173.03,156.43,138.44,119.02,97.55,77.78,59.22,43.33,30.46,21.05,14.16,9.41,6.35,3.79
1980,20.82,40.52,71.34,112.08,154.23,194.13,223.06,239.94,247.75,248.03,244.40,238.75,234.52,232.10,229.68,226.54,221.85,215.48,208.33,200.09,189.18,174.24,157.54,139.43,119.87,98.23,78.27,59.51,43.43,30.39,20.78,13.84,9.08,6.05,3.56
1981,20.76,40.45,71.08,111.42,153.03,192.36,220.98,237.87,245.88,246.48,243.24,238.02,234.22,232.20,230.12,227.24,222.74,216.52,209.46,201.28,190.36,175.35,158.55,140.34,120.63,98.82,78.67,59.75,43.51,30.33,20.59,13.61,8.84,5.82,3.39
1982,20.70,40.36,70.74,110.59,151.61,190.32,218.62,235.51,243.70,244.61,241.76,236.98,233.60,231.99,230.25,227.63,223.34,217.26,210.31,202.21,191.31,176.24,159.36,141.05,121.21,99.24,78.95,59.90,43.56,30.30,20.49,13.48,8.71,5.69,3.29
1983,20.08,39.17,68.88,108.05,148.59,187.09,215.38,232.45,240.88,242.09,239.57,235.15,232.14,230.88,229.46,227.10,222.97,216.96,210.07,202.01,191.11,175.95,158.99,140.60,120.70,98.63,78.36,59.38,43.15,30.03,20.39,13.46,8.73,5.73,3.33
1984,19.62,38.32,67.58,106.27,146.51,184.93,213.33,230.65,239.36,240.86,238.64,234.54,231.88,230.99,229.90,227.84,223.93,218.08,211.30,203.32,192.42,177.17,160.08,141.55,121.47,99.18,78.74,59.63,43.30,30.11,20.42,13.46,8.71,5.71,3.31
1985,19.31,37.82,66.83,105.21,145.15,183.29,211.56,228.90,237.72,239.38,237.43,233.68,231.45,231.05,230.43,228.77,225.17,219.53,212.93,205.06,194.17,178.80,161.53,142.79,122.46,99.86,79.20,59.91,43.47,30.21,20.53,13.53,8.76,5.74,3.33
1986,18.96,37.20,65.76,103.55,142.86,180.39,208.25,225.41,234.23,236.06,234.41,231.08,229.32,229.40,229.23,227.94,224.60,219.11,212.62,204.81,193.95,178.49,161.13,142.30,121.88,99.14,78.49,59.31,43.01,29.93,20.48,13.57,8.85,5.84,3.41
1987,18.46,36.35,64.39,101.49,140.01,176.73,204.01,220.86,229.60,231.57,230.22,227.33,226.06,226.64,226.92,226.01,222.94,217.63,211.26,203.55,192.74,177.26,159.90,141.09,120.70,97.95,77.43,58.42,42.33,29.48,20.28,13.49,8.84,5.87,3.43
1988,17.97,35.58,63.18,99.67,137.42,173.26,199.83,216.21,224.75,226.80,225.77,223.39,222.65,223.76,224.49,223.94,221.07,215.81,209.42,201.64,190.76,175.20,157.81,139.01,118.69,96.05,75.76,57.08,41.34,28.83,20.01,13.41,8.87,5.94,3.50
1989,16.83,33.66,60.54,96.47,133.98,169.88,196.59,213.12,221.80,223.96,223.09,220.94,220.55,222.10,223.28,223.17,220.67,215.69,209.52,201.91,191.10,175.53,158.09,139.22,118.82,96.07,75.70,56.95,41.17,28.64,19.81,13.20,8.68,5.78,3.39
1990,15.83,32.03,58.41,94.04,131.47,167.51,194.35,210.96,219.70,221.94,221.23,219.38,219.39,221.42,223.07,223.39,221.17,216.32,210.21,202.57,191.66,175.92,158.30,139.27,118.73,95.83,75.40,56.64,40.89,28.42,19.67,13.10,8.61,5.74,3.37
1991,13.74,28.47,53.89,89.29,127.38,164.79,192.66,209.80,218.64,220.66,219.71,217.72,217.91,220.42,222.68,223.67,221.97,217.48,211.64,204.18,193.29,177.31,159.39,140.03,119.11,95.75,75.07,56.19,40.41,27.98,19.36,12.83,8.40,5.59,3.28
1992,10.94,23.63,47.71,82.78,121.70,160.86,189.92,207.48,216.27,217.91,216.63,214.53,214.93,217.97,220.88,222.57,221.31,216.97,211.13,203.56,192.43,176.12,157.88,138.26,117.18,93.70,73.14,54.53,39.10,27.07,18.88,12.56,8.29,5.59,3.33
